제어번호,제목,저자,발행처,발행년도,ISBN번호,분류기호,대출횟수
1297078,여행의 이유 :김영하 산문,김영하 [지음],문학동네,2019,9.78895E+12,8,21
270510,나미야 잡화점의 기적 :히가시노 게이고 장편소설,히가시노 게이고 지음,현대문학,2012,9.78897E+12,8,19
993834,바깥은 여름 :김애란 소설,김애란 [지음],문학동네,2017,9.78895E+12,8,19
541851,소년이 온다 :한강 장편소설,한강 [지음],창비,2014,9.78894E+12,8,17
681654,도시는 무엇으로 사는가 :도시를 보는 열다섯 가지 인문적 시선,유현준 지음,을유문화사,2015,9.78893E+12,3,16
786756,사피엔스 :유인원에서 사이보그까지 인간 역사의 대담하고 위대한 질문,유발 하라리 [지음],김영사,2015,9.78893E+12,9,14
1304062,나는 소망한다 내게 금지된 것을 :양귀자 장편소설,양귀자 [지음],쓰다,2019,9.789E+12,8,11
34286,채식주의자 :한강 연작소설,한강 [지음],창비,2007,9.78894E+12,8,11
1294961,돈 공부는 처음이라 :0원부터 시작하는 난생처음 부자 수업,김종봉,다산북스,2019,9.79113E+12,3,10
941718,돌이킬 수 없는 약속 :야쿠마루 가쿠 장편소설,야쿠마루 가쿠 지음,북플라자(Book plaza),2017,9.789E+12,8,10
1329652,선량한 차별주의자,김지혜 지음,창비,2019,9.78894E+12,3,10
1103910,파친코 :이민진 장편소설 .2,이민진 지음,문학사상,2018,9.78897E+12,8,10
298646,브람스를 좋아하세요..,프랑수아즈 사강 지음,민음사,2011,9.78894E+12,8,9
1311391,이기적 유전자,리처드 도킨스 지음,을유문화사,2018,9.78893E+12,4,9
1359912,저는 주식투자가 처음인데요 :완전 생초보의 주식투자 입문기 기본편,강병욱 지음,한빛비즈,2020,9.79116E+12,3,9
1359700,존리의 부자되기 습관 :대한민국 경제독립 액션 플랜: 'You can do it',존 리 지음,지식노마드,2020,9.79119E+12,3,9
947589,타이탄의 도구들 :1만 시간의 법칙을 깬 거인들의 61가지 전략,팀 페리스 지음,토네이도미디어그룹(TORNADO),2017,9.79116E+12,3,9
1058983,파친코 :이민진 장편소설 .1,이민진 지음,문학사상,2018,9.78897E+12,8,9
1303320,(50대 사건으로 보는) 돈의 역사 =The history of Money,홍춘욱 지음,Rok Media(로크미디어),2019,9.79114E+12,3,8
1359501,(스타강사 사경인 회계사의) 재무제표 모르면 주식투자 절대로 하지마라,사경인 지음,베가북스,2020,9.79119E+12,3,8
709744,나는 부동산과 맞벌이한다 :배우자 대신 꼬박꼬박 월급을 가져오는 시스템 만들기,너바나 지음,시공사: 알키,2015,9.78895E+12,3,8
1360546,나를 사랑하는 연습,정영욱 지음,부크럼,2020,9.79116E+12,8,8
1398447,달러구트 꿈 백화점 :주문하신 꿈은 매진입니다 : 이미예 장편소설,이미예 지음,팩토리나인,2020,9.79117E+12,8,8
1359312,목소리를 드릴게요 :정세랑 소설집,정세랑 지음,아작,2020,9.79117E+12,8,8
643532,미움받을 용기 :자유롭고 행복한 삶을 위한 아들러의 가르침,기시미 이치로,인플루엔셜,2014,9.789E+12,1,8
1031882,봉제인형 살인사건,다니엘 콜 지음,북플라자,2017,9.789E+12,8,8
327483,부의 추월차선 :부자들이 말해 주지 않는 진정한 부를 얻는 방법,엠제이 드마코 지음,북새통: 토트출판사,2013,9.78899E+12,3,8
4293,왜 일하는가 : 이나모리 가즈오가 성공을 꿈꾸는 당신에게 묻는다,이나모리 가즈오 지음,서돌,2010,9.78899E+12,3,8
1318311,우리가 빛의 속도로 갈 수 없다면 :김초엽 소설,김초엽 지음,허블,2019,9.79119E+12,8,8
1303998,월급쟁이 부자로 은퇴하라 :3년 만에 30년 치 연봉을 번 김 과장의 시스템 마련법,너나위 지음,RHK(알에이치코리아),2019,9.78893E+12,3,8
1384692,죽은 자의 집 청소 :죽음 언저리에서 행하는 특별한 서비스,김완 지음,김영사,2020,9.78893E+12,3,8
5106,(똑똑한 선택을 이끄는 힘) 넛지,리처드 탈러,리더스북,2009,9.7889E+12,3,7
1242286,(오은영의) 화해 :상처받은 내면의 '나'와 마주하는 용기,오은영 지음,코리아닷컴(KOREA.COM): 대성,2019,9.789E+12,1,7
1065517,7년의 밤 :정유정 장편소설,정유정 [지음],은행나무,2011,9.78896E+12,8,7
1185749,공부머리 독서법 :실현 가능하고 지속 가능한 독서교육의 모든 것,최승필 지음,책구루,2018,9.7912E+12,0,7
1393910,기분이 태도가 되지 않게 :기분 따라 행동하다 손해 보는 당신을 위한 심리 수업,레몬심리 지음,갤리온 : 웅진씽크빅,2020,9.7889E+12,1,7
932713,나는 나로 살기로 했다 :냉담한 현실에서 어른살이를 위한 to do list,김수현 글?그림,마음의숲,2016,9.79119E+12,8,7
1182316,날씨가 좋으면 찾아가겠어요 :이도우 장편소설,이도우 [지음],시공사,2018,9.78895E+12,8,7
805001,미라클모닝 :당신의 하루를 바꾸는 기적 아침 6분이면 충분하다,할 엘로드 지음,한빛비즈,2016,9.79116E+12,3,7
1476219,민왕 :정치꾼 총리와 바보 아들: 이케이도 준 장편소설,이케이도 준 지음,소미미디어,2021,9.79117E+12,8,7
1185774,방구석 미술관 :가볍고 편하게 시작하는 유쾌한 교양 미술,조원재 지음,백도씨: 블랙피쉬,2018,9.78897E+12,6,7
