Unnamed: 0,주차,생장길이,화방높이,줄기굵기,잎길이(엽장),잎수,착과군,개화군,수확수,열매수
0,40.0,30.25,23.0416666666667,9.62083333333333,46.125,11.875,4.35666666666667,5.07416666666667,0.0,9.70833333333333
1,41.0,20.7083333333333,24.2916666666667,8.3875,44.125,11.7916666666667,5.0525,5.66833333333333,0.0,11.0416666666667
0,42.0,14.3,11.7,8.1,44.2,15.6,6.1,6.7,0.0,14.7
1,43.0,18.1,9.5,9.2,47.1,13.6,6.8,7.3,0.0,16.8
0,43.0,18.75,25.5,10.125,39.75,15.5,6.675,7.125,0.0,15.75
1,44.0,19.0,25.5,9.25,38.75,16.0,6.95,7.725,0.0,15.75
0,40.0,22.0,20.25,9.85,37.0,19.5,6.375,7.3,0.0,13.0
1,41.0,21.0,25.5,10.25,43.25,17.5,7.15,8.075,0.0,15.5
0,46.0,17.5,0.0,11.75,0.0,12.75,0.0,0.0,0.0,19.0
1,47.0,16.0,27.75,11.95,0.0,12.5,7.7,8.825,0.0,17.25
0,42.0,25.775,30.2375,12.52125,51.975,13.125,4.10375,5.15625,0.0,15.375
1,43.0,21.89875,24.4625,11.6175,48.5,12.875,5.165,5.85125,0.0,18.25
0,40.0,31.05,34.0,13.9225,49.25,17.75,2.8125,3.725,0.0,10.5
1,41.0,25.875,8.625,10.9175,48.5,14.25,3.625,5.125,0.0,13.5
0,42.0,19.3333333333333,22.1333333333333,10.42875,46.375,13.5833333333333,6.58125,6.80416666666667,0.0,19.2083333333333
1,43.0,21.0,10.0,7.81,40.0,18.0,8.0,8.3,0.0,21.0
0,42.0,16.425,7.975,0.0,29.825,15.0,4.5,5.5625,0.0,14.25
1,43.0,0.0,11.925,7.08,32.5375,12.0,5.33125,6.11375,0.0,15.125
0,6.0,21.8666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,7.0,25.8166666666667,29.84,12.9583333333333,45.0666666666667,11.5,8.425,8.99333333333333,0.0,24.6666666666667
2,8.0,24.4166666666667,18.65,12.6366666666667,45.5333333333333,12.5,9.55833333333333,10.0433333333333,0.0,25.1666666666667
3,9.0,23.7666666666667,0.0,14.91,46.0833333333333,11.6666666666667,10.1825396825397,10.5483333333333,0.0,24.8333333333333
4,10.0,23.3333333333333,0.0,0.0,46.3333333333333,14.5,10.8988095238095,11.445,0.0,25.1666666666667
5,11.0,20.8666666666667,26.0833333333333,13.9016666666667,46.0,12.1666666666667,11.5238095238095,12.3016666666667,0.0,27.0
6,12.0,24.05,21.75,12.94,45.5,14.6666666666667,12.75,13.2816666666667,0.0,26.8333333333333
7,13.0,18.75,22.5,11.595,44.8333333333333,16.6666666666667,13.5555555555556,14.0966666666667,0.0,27.1666666666667
8,14.0,24.25,23.3333333333333,0.0,45.6666666666667,17.0,14.3291005291005,15.0783333333333,0.0,26.6666666666667
9,15.0,21.5833333333333,20.6666666666667,12.3683333333333,44.3333333333333,18.8333333333333,15.3958333333333,15.83,0.0,25.1666666666667
10,16.0,21.8333333333333,24.4166666666667,12.7633333333333,45.6666666666667,18.0,16.2714285714286,16.7466666666667,0.0,24.6666666666667
11,17.0,22.2333333333333,18.3833333333333,11.7933333333333,46.25,19.1666666666667,17.0009920634921,17.7216666666667,0.0,23.3333333333333
12,18.0,23.0,20.8333333333333,0.0,46.5,19.3333333333333,18.0571428571429,18.565,0.0,22.6666666666667
13,19.0,24.5833333333333,20.0833333333333,10.6783333333333,46.0833333333333,20.0,18.9880952380952,19.5233333333333,0.0,20.0
14,20.0,0.0,0.0,0.0,0.0,18.8333333333333,19.6599206349206,20.245,0.0,24.3333333333333
0,49.0,23.5833333333333,27.7,9.64,43.4333333333333,8.83333333333333,7.95,8.33333333333333,0.0,18.5
1,50.0,15.4166666666667,33.1666666666667,9.855,44.5833333333333,9.16666666666667,8.325,8.775,0.0,17.5
2,51.0,14.5833333333333,30.1666666666667,9.31833333333333,45.7333333333333,10.3333333333333,8.98055555555556,9.25483333333333,0.0,17.0
3,52.0,16.3333333333333,0.0,9.835,38.0,11.8333333333333,9.66666666666667,10.1016666666667,0.0,0.0
4,1.0,19.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2.0,19.3166666666667,27.3666666666667,10.99,43.7,10.8333333333333,10.4385714285714,10.5916666666667,0.0,13.5
6,3.0,19.0166666666667,20.6666666666667,9.805,38.0166666666667,10.8333333333333,11.0566666666667,11.3666666666667,0.0,13.6666666666667
7,4.0,18.1666666666667,24.7,8.775,40.3,9.16666666666667,11.6190476190476,11.9766666666667,0.0,14.8333333333333
8,5.0,20.15,18.7666666666667,9.615,39.4666666666667,11.3333333333333,12.3092857142857,12.75,0.0,15.0
9,6.0,21.5333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,7.0,21.55,25.4,10.55,40.6666666666667,11.0,13.7152777777778,13.865,0.0,16.6666666666667
11,8.0,21.2,21.7,9.76,39.0,11.5,14.1785714285714,14.525,0.0,18.6666666666667
12,9.0,18.55,25.0833333333333,10.8383333333333,40.5333333333333,10.8333333333333,14.9222222222222,15.145,0.0,16.3333333333333
13,10.0,17.25,22.4166666666667,10.6266666666667,39.5,10.3333333333333,15.435119047619,15.9383333333333,0.0,17.3333333333333
14,11.0,23.5,0.0,11.5566666666667,41.0833333333333,11.0,16.2472222222222,16.63,0.0,19.8333333333333
0,49.0,22.8166666666667,24.7166666666667,13.2566666666667,51.85,12.3333333333333,10.0,10.3666666666667,0.0,18.1666666666667
1,50.0,18.8,20.3,11.0783333333333,52.4166666666667,11.8333333333333,10.468253968254,11.2583333333333,0.0,17.3333333333333
2,51.0,22.1,36.8,0.0,51.3666666666667,7.83333333333333,11.0666666666667,11.62,0.0,17.8333333333333
3,52.0,20.4,26.6,12.2383333333333,50.5666666666667,10.6666666666667,11.8214285714286,12.3866666666667,0.0,19.6666666666667
4,1.0,17.4666666666667,0.0,12.7616666666667,51.65,10.6666666666667,12.5,12.9416666666667,0.0,18.6666666666667
5,2.0,17.9166666666667,31.3833333333333,0.0,51.3833333333333,10.5,13.1111111111111,13.5933333333333,0.0,17.5
6,3.0,23.3166666666667,26.6333333333333,0.0,50.65,10.5,13.8888888888889,14.3516666666667,0.0,19.5
7,4.0,20.6666666666667,34.28,12.545,50.5833333333333,8.66666666666667,14.3888888888889,15.14,0.0,19.5
8,5.0,25.2333333333333,0.0,12.4533333333333,49.5666666666667,10.6666666666667,15.5555555555556,16.0533333333333,0.0,21.5
9,6.0,25.1333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.3333333333333
10,7.0,25.1333333333333,34.54,12.3133333333333,47.0166666666667,12.3333333333333,16.7777777777778,17.3866666666667,0.0,22.1666666666667
11,8.0,26.0833333333333,25.38,12.1966666666667,45.9833333333333,12.0,17.5555555555556,18.2716666666667,0.0,21.3333333333333
12,9.0,21.55,0.0,12.565,47.8166666666667,10.0,18.5555555555556,19.0766666666667,0.0,23.0
13,10.0,25.3,0.0,13.0133333333333,48.6,9.66666666666667,19.2430555555556,20.0266666666667,0.0,21.8333333333333
14,11.0,22.5166666666667,31.12,11.8066666666667,44.9333333333333,9.5,20.1944444444444,20.655,0.0,21.1666666666667
0,52.0,15.5666666666667,22.3333333333333,9.67833333333333,40.3333333333333,9.33333333333333,7.58333333333333,7.83333333333333,0.0,18.3333333333333
1,1.0,15.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2.0,15.125,29.1666666666667,10.155,42.6833333333333,8.83333333333333,8.25,8.43,0.0,13.6666666666667
3,3.0,17.0,37.45,10.5416666666667,42.8666666666667,6.5,8.555,9.03333333333333,0.0,11.6666666666667
4,4.0,18.4166666666667,27.76,11.1383333333333,41.2666666666667,8.5,9.36,9.88833333333333,0.0,11.8333333333333
5,5.0,20.4666666666667,28.1666666666667,10.82,39.6166666666667,10.5,10.335,10.8883333333333,0.0,13.1666666666667
6,6.0,20.6666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7.0,21.1666666666667,28.5,11.84,39.5,10.6666666666667,11.8888888888889,12.4416666666667,0.0,15.3333333333333
8,8.0,20.9,24.65,11.3066666666667,39.3,11.6666666666667,12.6666666666667,13.1066666666667,0.0,16.8333333333333
9,9.0,21.9166666666667,24.6333333333333,10.8616666666667,38.0833333333333,10.6666666666667,13.4444444444444,13.8233333333333,0.0,18.6666666666667
10,10.0,16.7,31.1333333333333,11.3066666666667,38.0333333333333,11.3333333333333,14.0833333333333,14.5266666666667,0.0,20.3333333333333
11,11.0,24.4166666666667,31.1,11.15,37.0833333333333,10.6666666666667,14.7777777777778,15.3033333333333,0.0,19.1666666666667
12,12.0,19.8333333333333,23.5833333333333,9.78166666666667,37.8333333333333,13.8333333333333,15.5694444444444,16.1633333333333,0.0,20.5
13,13.0,22.8333333333333,27.0,10.3933333333333,31.5,12.1666666666667,16.4444444444444,16.8483333333333,0.0,20.8333333333333
14,14.0,25.25,26.8333333333333,9.55166666666667,36.8333333333333,10.5,17.1916666666667,17.4516666666667,0.0,21.5
0,36.0,29.5,16.6075,9.4475,39.25,19.0,5.625,6.375,0.0,12.5
1,37.0,27.5,12.75,9.7525,41.5,19.75,6.5,7.375,0.0,15.25
0,49.0,18.0333333333333,27.6555555555556,9.78222222222222,46.3,8.66666666666667,8.81481481481482,9.39588888888889,0.0,15.8888888888889
1,50.0,10.1,20.8888888888889,9.24777777777778,45.6166666666667,8.22222222222222,9.03518518518518,9.86666666666667,0.0,15.4444444444444
2,51.0,10.7222222222222,23.4111111111111,8.92333333333333,45.7666666666667,8.0,9.60185185185185,10.5277777777778,0.0,14.6666666666667
3,52.0,17.2333333333333,17.1,8.54222222222222,44.3166666666667,8.11111111111111,10.5685185185185,10.9995555555556,0.0,16.1111111111111
4,1.0,12.2222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.1111111111111
5,2.0,12.2222222222222,29.6888888888889,8.73666666666667,46.3333333333333,7.33333333333333,11.2814814814815,11.4755555555556,0.0,14.8888888888889
