,주차,생장길이,화방높이,줄기굵기,잎길이(엽장),잎수,착과군,개화군,수확수,열매수
0,7,13.4,12.35,8.035,41.25,15.75,10.575,11.3333333333333,1.5,22.5
1,8,21.675,18.575,11.0575,44.15,14.75,12.0,12.4333333333333,2.0,25.25
2,9,12.6,14.125,9.6,42.525,13.25,12.625,13.0833333333333,2.33333333333333,24.5
3,10,17.7,14.375,9.82,43.1,15.75,13.15,13.6116071428571,2.0,24.25
4,11,20.65,16.7,10.555,40.975,15.5,14.25,14.5044642857143,2.75,25.5
5,12,26.425,13.9,11.1475,42.375,16.0,14.9166666666667,15.6190476190476,3.75,23.0
6,13,16.225,9.25,8.51,36.95,17.0,15.8285714285714,14.3928571428571,4.5,28.0
7,14,27.15,12.275,9.6025,42.525,16.25,17.0833333333333,16.6666666666667,3.0,29.0
8,15,26.25,12.075,8.8425,41.375,15.0,17.875,18.4777777777778,3.25,29.75
9,16,17.325,9.6,6.2475,40.45,14.5,16.375,16.75,2.75,29.75
10,17,23.375,19.2,7.7425,41.15,16.25,17.25,18.0,2.66666666666667,30.5
11,18,0.0,0.0,8.4575,42.975,14.0,18.0,19.5,6.25,27.25
12,19,0.0,0.0,7.98,45.875,14.75,18.5,0.0,3.0,26.25
13,20,0.0,0.0,7.92,47.175,12.5,18.5,0.0,5.5,20.75
